Reporting Starts,Reporting Ends,Ad Name,Impression Device,Delivery,Amount Spent (USD),Amount Spent Today (USD),Unique CTR (Link Click-Through Rate),Relevance Score,CTR (All),CTR (Link Click-Through Rate),CPC (Cost per Link Click) (USD),Cost per Website Content Views (USD),Cost per Website Checkout Initiated (USD),Cost per Website Registration Completed (USD),Cost per Website Lead (USD),Cost per Website Search (USD),Cost per Website Add to Wishlist (USD),Cost per Page Like (USD),Video Percentage Watched,Cost per 10-Second Video View (USD),Post Reactions,Post Comments,Post Shares,Positive Feedback,Link Clicks,Website Registrations Completed,Website Leads,Website Purchases,Website Checkouts Initiated Conversion Value,Website Adds to Wishlist,Website Checkouts Initiated,Website Searches,Video Watches at 50%,Video Watches at 75%,Reach,Results,Result Indicator,3-Second Video Views,Video Average Watch Time,Button Clicks
2017-06-01,2017-06-30,Pwr_FearLightVid_Comp,Android Tablet,not_delivering,0.09,0,0,,0,,,,,,,,,,3.27,,,,,,,,,,,,,,,,4,,,1,0:00:03,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_SFSmixRTP_SFSRTPPgrad_Mobile,Android Tablet,not_delivering,1.13,0,1.428571429,,2.631578947,1.315789474,1.13,,,,,,,,0,,,,,,1,,,,,,,,,,70,,,,0:00:00,
2017-06-01,2017-06-30,1Ryan_LinkedIn_RTPPgradSFSMix_2244_Mobile_Women,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_Met3554_Mobile,Android Tablet,not_delivering,0.05,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,0:00:00,
2017-06-01,2017-06-30,"Post: ""EQ is so 2016...Join me to 'Boost your...""",Android Tablet,not_delivering,0.17,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,12,,,,0:00:00,
2017-06-01,2017-06-30,emailLeadVid2zmlng_lin_hotmet3554_Mobile,Android Tablet,not_delivering,0.04,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_2634SFSmixRTPPgradCar+_AllD,Android Tablet,not_delivering,0.16,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_LdLkCarMotRTP_And,Android Tablet,not_delivering,0.42,0,0,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,19,,,,0:00:00,
2017-06-01,2017-06-30,JLRFearLight_subPharmSls_VidView,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,5.11,,,,,,,,,,,,,,,,3,,,,0:00:02,
2017-06-01,2017-06-30,ProBook_Pg_LkDev_3544_hotmet,Android Tablet,not_delivering,0.09,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,LeadLklikeWrldEn_Meetme1_AllD_adtxt_20170620,Android Tablet,not_delivering,0,0,0,,1.612903226,,,,,,,,,,0,,,,,,,,,,,,,,,,62,,,,0:00:00,
2017-06-01,2017-06-30,Ryan_LinkedIn_PlayBigPain_Mobile_Women - Copy,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,JLRFearLight_subcardevmix2_VidView,Android Tablet,not_delivering,0.29,0,0,,8,,,,,,,,,,45.97,0.022307692,1,,,,,,,,,,,,10,8,25,24,actions:video_view,24,0:00:15,
2017-06-01,2017-06-30,Ryan_LinkedIn_PlayBigPain_Mobile_Women - Copy 2,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,0:00:00,
2017-06-01,2017-06-30,JLR_Vid_retarg50,Android Tablet,rejected,0.02,0,0,,0,,,,,,,,,,85.59,0.02,,,,,,,,,,,,,1,1,3,3,actions:video_view,3,0:00:22,
2017-06-01,2017-06-30,Div_Pwr_Teach100k+_AllD,Android Tablet,not_delivering,0.08,0,0,,0,,,,,,,,,,0,,1,,,,,,,,,,,,,,3,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,Diversity_PwrMoves_LkDev75k+,Android Tablet,not_delivering,0.07,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Pwrmoves_Meetme1_oldvid_AllD_adtxt_20170620,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,5.24,,,,,,,,,,,,,,,,4,,,2,0:00:03,
2017-06-01,2017-06-30,Retarg_SFS_Pwrmoves_Meetme1_oldvid_AllD_adtxt_20170620 - Copy,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,4.23,,,,,,,,,,,,,,,,2,,,1,0:00:02,
2017-06-01,2017-06-30,JLRFearLight_LdLkSubUS_VidView,Android Tablet,not_delivering,0.09,0,0,,0,,,,,,,,,,20.04,0.0225,,,,,,,,,,,,,2,,16,14,actions:video_view,14,0:00:06,
2017-06-01,2017-06-30,Ryan_LinkedIn_PlayBigPain2_WinBig20170207_Mobile_Women,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_IntlFPowCarPGrad_2562_AllD_Engage,Android Tablet,not_delivering,0.83,0,0.920245399,,3.899721448,1.114206128,0.2075,,,,,,,0.83,0,,9,,,,4,,,,,,,,,,326,13,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,Jun23talk_SavCar_Pg_Retarg,Android Tablet,not_delivering,0.01,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,1Ryan_LinkedIn_Lk2534Mob_CarDevMix18_62_Mobile_Women,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,16,,,,0:00:00,
2017-06-01,2017-06-30,JLRFearLight_Vid_SendLane2544,Android Tablet,not_delivering,0.05,0,0,,0,,,,,,,,,,28.83,0.016666667,,,,,,,,,,,,,,,7,5,actions:video_view,5,0:00:10,
2017-06-01,2017-06-30,lkDev$75k+_Probk_Meetme1_20170718_AllD_adtxt,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,LdLkSubUS_4562_Meetme1_20170617_AllD_adtxt,Android Tablet,not_delivering,2.43,0,1.973684211,,6.024096386,1.807228916,0.81,,,,,,,,0,,1,,,,3,,,,,,,,,,152,3,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Meetme1_oldvid_AllD_adtxt_20170620,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,2.59,,,,,,,,,,,,,,,,2,,,,0:00:02,
2017-06-01,2017-06-30,sub_mix_SFS_Meetme1_oldvid_mobile_adtxt_20170620,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,12.88,0,,,,,,,,,,,,,,,4,,,2,0:00:08,
2017-06-01,2017-06-30,ProBook_Pg_LeadSendLkUKSA,Android Tablet,not_delivering,0.69,0,1.351351351,,2.150537634,1.075268817,0.69,,,0.345,,0.69,,,0,,1,,,,1,2,,,,,,1,,,74,2,actions:offsite_conversion.fb_pixel_complete_registration,,0:00:00,
2017-06-01,2017-06-30,1Ryan_LinkedIn_CarDevMix18_62_ExFBMobile_Women,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,6,,,,0:00:00,
2017-06-01,2017-06-30,Offer_PwrCourseFearLightVid_Pro1_AdComp,Android Tablet,not_delivering,0,0,0,,11.11111111,,,,,,,,,,26.82,0,,,,,,,,,,,,,3,2,16,,,7,0:00:09,
2017-06-01,2017-06-30,sub_mix_SFS_Meetme1_mobile_adtxt_20170620,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,6,,,,0:00:00,
2017-06-01,2017-06-30,Offer_PwrCourseFearLightVid_Pro1_AdComp,Android Tablet,not_delivering,0,0,0,,18.75,,,,,,,,,,24.84,0,,,,,,,,,,,,,2,2,15,,,11,0:00:08,
2017-06-01,2017-06-30,Offer1_oldvidSFS_CarMotMet3554,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,4.74,0,,,,,,,,,,,,,,,24,,,3,0:00:02,
2017-06-01,2017-06-30,JLRFearLight_sub75vid_VidView,Android Tablet,not_delivering,0.01,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Meetme1_AllD_adtxt_20170620,Android Tablet,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,8,,,,0:00:00,
2017-06-01,2017-06-30,Offer_PwrCourseFearLightVid_Pro1_AdComp,Android Tablet,not_delivering,0,0,0,,2.43902439,,,,,,,,,,26.35,0,,,,,,,,,,,,,5,5,35,,,17,0:00:09,
2017-06-01,2017-06-30,LeadVid2zmlng_PwrMoves_oldvid_Lk2534_DT_LdLkSubUS_4565_subpharmslsbroad_AllD,Android Tablet,not_delivering,0.45,0,0,,0,,,,,,,,,,8.04,0.1125,,,,,,,,,,,,,,,28,,,14,0:00:04,
2017-06-01,2017-06-30,JLRFearLight_Vid_Retarg50,Android Tablet,not_delivering,0.12,0,0,,7.692307692,,,,,,,,,,24.83,0.024,,,,,,,,,,,,,1,1,13,9,actions:video_view,9,0:00:08,
2017-06-01,2017-06-30,HuffPost2_IntlminiFPowCarPGrad_2544_AllD_Engage,Desktop,not_delivering,0.13,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,48,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_2634SFSmixRTPPgradCar+_AllD,Desktop,not_delivering,0.54,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,21,,,,0:00:00,
2017-06-01,2017-06-30,JLRFearLight_sub75vid_VidView,Desktop,not_delivering,0.01,0,0,,0,,,,,,,,,,33.8,0.01,,,,,,,,,,,,,1,,2,2,actions:video_view,2,0:00:11,
2017-06-01,2017-06-30,ProBook1_subcardevmix2_2534_AllD,Desktop,not_delivering,0.42,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,63,,,,0:00:00,
2017-06-01,2017-06-30,PMv1_SFSmixRTP2634_AllD,Desktop,not_delivering,1.62,0,0,,0,,,,,,,,,,6.36,0.147272727,,,,,,,,,,,,,,,80,28,actions:video_view,28,0:00:06,
2017-06-01,2017-06-30,Ryan_LinkedIn_Lk2534DT_PlayBigPain2PostGrad_AA2_Mobile_Women - Copy,Desktop,not_delivering,0,0,0,,0.079491256,,,,,,,0,,,0,,,,,,,,,,,,,1,,,673,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_Retarg25vid_DT_Engage,Desktop,not_delivering,1.16,0,0,,0.282485876,,,,,,,,,,0,,1,,,,,,,,,,,,,,128,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,ProBook1_SFSMixRTP2534_AllD,Desktop,not_delivering,0.13,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,0:00:00,
2017-06-01,2017-06-30,Ryan_LinkedIn_PlayBigPain_Mobile_Women - Copy 2,Desktop,not_delivering,0.63,0,3.703703704,,2.777777778,2.777777778,0.63,,,,,,,,0,,,,,,1,,,,,,,,,,27,1,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,ProBook1_Retarg25_2534_AllD,Desktop,not_delivering,0.12,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_CarMotMet3554_380k_Mobile,Desktop,not_delivering,0.22,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,12,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_pgdir_2544_subCarDevmix2,Desktop,not_delivering,0.16,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,25,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_pgdir_2544subCarDevmix2,Desktop,not_delivering,0.05,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,0:00:00,
2017-06-01,2017-06-30,subcardevmix2_Probk_Meetme1_20170718_AllD_adtxt,Desktop,not_delivering,2.93,0,1.526717557,,4.411764706,1.470588235,1.465,,,,2.93,,,,0,,,,,,2,,1,,,,,,,,131,2,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,ProBook1_IntlminiFPowCarPGrad_2544_AllD,Desktop,not_delivering,0.29,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,62,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost_FPowCarPGrad_2540_AllD_Engage_,Desktop,inactive,0.03,0,0,,50,,,,,,,,,,0,,1,,,,,,,,,,,,,,2,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,ProBook1_Lk75AnyVid_AllD,Desktop,not_delivering,0.2,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,59,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_CallsRTPPgrad3562_Desktop,Desktop,not_delivering,8.84,0,0.826446281,,4.044117647,0.735294118,4.42,,,,,,,,0,,,,,,2,,,,,,,,,,242,1,actions:leadgen.other,,0:00:00,
2017-06-01,2017-06-30,JLRFearLight_PgLike_VidView,Desktop,not_delivering,0.1,0,0,,0,,,,,,,,,,4.6,,,,,,,,,,,,,,,,8,1,actions:video_view,1,0:00:01,
2017-06-01,2017-06-30,ProBook1_Retarg50_AllD,Desktop,not_delivering,0.42,0,3.225806452,,2.941176471,2.941176471,0.42,,,0.42,,0.42,,,0,,,,,,1,1,,,,,,1,,,31,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,Scared_Vid_SubAAMotHot,Desktop,rejected,0.01,0,0,,0,,,,,,,,,,20.18,,,,,,,,,,,,,,,,1,1,actions:video_view,1,0:00:05,
2017-06-01,2017-06-30,LdLkSubUS_Probk_4562Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,0,0,0,,1,,,,,,,0,,,0,,,,,,,,,,,,,2,,,100,,,,0:00:00,
2017-06-01,2017-06-30,sub_mix_SFS_Meetme1_mobile_adtxt_20170620,Desktop,not_delivering,2.18,0,0.643086817,,3.846153846,0.641025641,1.09,,,,,2.18,,,0,,,,,,2,,,,,,,1,,,311,2,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,ProBook1_Retarg25_AllD,Desktop,not_delivering,0.32,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,10,,,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Meetme1_AllD_adtxt_20170620,Desktop,not_delivering,0,0,0,,6.25,,,0,,,,,,,0,,,,,,,,,,,,,,,,16,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_CarMotMet3554_AllD,Desktop,not_delivering,0.08,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_LeadLkWlrd_MW_en_AllD,Desktop,not_delivering,0.11,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,34,,,,0:00:00,
2017-06-01,2017-06-30,Offer1_oldvidSFS_CarMotMet3554,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,3.56,,,,,,,,,,,,,,,,1,,,1,0:00:02,
2017-06-01,2017-06-30,Offer1_oldvid_CatMotMet35+,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,5.33,,,,,,,,,,,,,,,,1,,,1,0:00:03,
2017-06-01,2017-06-30,ProBook1_SFSMixRTP_AllD,Desktop,not_delivering,0.23,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,13,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_LdLkSubUS_AllD,Desktop,not_delivering,1.19,0,0.854700855,,0.425531915,0.425531915,1.19,,,,,1.19,,,0,,,,,,1,,,,,,,1,,,117,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_PwrMoves_oldvid_Lk2534_DT_LdLkSubUS_4565_subpharmslsbroad_AllD,Desktop,not_delivering,7.56,0,0,,0,,,3.78,,,,3.78,,,12.25,0.63,,,,,,,,,,,,2,6,4,162,,,45,0:00:07,
2017-06-01,2017-06-30,ProBook1_lowerIncLdLkSubUS2544_AllD,Desktop,not_delivering,0.46,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,87,,,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Meetme1_oldvid_AllD_adtxt_20170620,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_pgdir_subCarDevmix2,Desktop,not_delivering,1.03,0,0.980392157,,1.342281879,0.67114094,1.03,,,,,1.03,,,0,,1,,,,1,,,,,,,1,,,102,2,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Pwrmoves_Meetme1_oldvid_AllD_adtxt_20170620 - Copy,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,0:00:00,
2017-06-01,2017-06-30,LdLkSubUS_4562_Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,0,0,0,,1.315789474,,,,,,,,,,0,,,,,,,,,,,,,,,,74,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_Retarg_AllD_Engage,Desktop,not_delivering,1.12,0,0,,0,,,0.28,,,,0.28,,,0,,,,,,,,,,,,,4,,,171,,,,0:00:00,
2017-06-01,2017-06-30,LeadLklikeWrldEn_Meetme1_AllD_adtxt_20170620,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,23,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_Retarg25vid_AllD_Engage,Desktop,not_delivering,0.22,0,0,,0.636942675,,,0.22,,,,,,,0,,,,1,,,,,,,,,,,,61,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,sub_mix_SFS_Meetme1_oldvid_mobile_adtxt_20170620,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,13,,,,0:00:00,
2017-06-01,2017-06-30,Offer1_oldvidProBook_CarMotMet3554,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-06-01,2017-06-30,Retarg_SFS_Pwrmoves_Meetme1_oldvid_AllD_adtxt_20170620,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,14,,,,0:00:00,
2017-06-01,2017-06-30,Offer1_hotvid_CatMotMet35+,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-06-01,2017-06-30,SFSMixRTP_Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,34,,,,0:00:00,
2017-06-01,2017-06-30,subcardevmix2_Probk_Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,0,0,0,,4.494382022,,,,,,,,,,0,,,,,,,,,,,,,,,,89,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_LdLkCarMotRTP_And,Desktop,not_delivering,2.53,0,1.282051282,,3.370786517,1.123595506,2.53,,,,,,,,0,,1,,,,1,,,,,,,,,,78,,,,0:00:00,
2017-06-01,2017-06-30,LdLkSubUS_Probk_2544Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,56,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_LdCLkUS_AllD,Desktop,not_delivering,0.69,0,3.333333333,,3.333333333,3.333333333,0.69,,,,,,,,0,,,,,,1,,,,,,,,,,30,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_LkPageUSCanEur,Desktop,not_delivering,1.78,0,0.689655172,,0.196850394,0.196850394,1.78,1.78,,0.593333333,,0.356,,,0,,,,,,1,3,,,,,,5,,,145,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_LdLkSubUS_4562_AllD,Desktop,not_delivering,2.22,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,69,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_Nigeria_IntlFPowCarPGrad_2562_AllD_Engage,Desktop,not_delivering,0.1,0,2.173913043,,2.597402597,1.298701299,0.1,,,,,,,,0,,,,,,1,,,,,,,,,,46,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_Retarg_AllD,Desktop,not_delivering,0,0,0,,2.352941176,,,,,,,,,,0,,,,,,,,,,,,,,,,69,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_PgEng_CarDev,Desktop,not_delivering,0.11,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,21,,,,0:00:00,
2017-06-01,2017-06-30,HuffPost2_IntlFPowCarPGrad_2562_AllD_Engage,Desktop,not_delivering,0.04,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,14,,,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_LdCLkUS_AllD,Desktop,not_delivering,0.22,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,11,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_subcardevmix2_AllD,Desktop,not_delivering,0.14,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,26,,,,0:00:00,
2017-06-01,2017-06-30,ShLeadVid2zmlng_lin_CarMotMet3554_AllD,Desktop,not_delivering,0.01,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-06-01,2017-06-30,subcardevmix2_Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,1.55,0,0.709219858,,9.219858156,0.709219858,1.55,,,,,,,,0,,1,,,,1,,,,,,,,,,141,1,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_ALLNCCarPgrad_CarMotMet3554_380k_Mobile,Desktop,not_delivering,0,0,0,,7.142857143,,,,,,,,,,0,,,,,,,,,,,,,,,,28,,,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_LdCLkRTPPgrad_Mobile,Desktop,not_delivering,0.19,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,0:00:00,
2017-06-01,2017-06-30,Retarg2_Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,0,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,11,,,,0:00:00,
2017-06-01,2017-06-30,LdLkSubUS_2544_Meetme1_20170617_AllD_adtxt,Desktop,not_delivering,1.04,0,0.341296928,,2.04778157,0.341296928,1.04,,,,,,,,0,,,,,,1,,,,,,,,,,293,1,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_LdCLkCarMotRTP3544_MobAnd,Desktop,not_delivering,0.02,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_LdCLkRTP_AllD,Desktop,not_delivering,0.09,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,8,,,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmln_DejFir_SFSBmixRTP2634_AllD,Desktop,not_delivering,0.06,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_2544LdLkSubUS_AllD,Desktop,not_delivering,0.17,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,41,,,,0:00:00,
2017-06-01,2017-06-30,PMv1_LkMixNC_AllD,Desktop,not_delivering,0.36,0,0,,0,,,,,,,,,,8.51,0.051428571,,,,,,,,,,,,,,,32,19,actions:video_view,19,0:00:08,
2017-06-01,2017-06-30,Jun23talk_SavCar_Pg_Retarg,Desktop,not_delivering,0.05,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,0:00:00,
2017-06-01,2017-06-30,Jun23talk_SavCar_Pg_Retarg25_CarMot,Desktop,not_delivering,0.02,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-06-01,2017-06-30,Jun23talk_SavCar_LkSecretMW_US,Desktop,not_delivering,0.05,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,0:00:00,
2017-06-01,2017-06-30,PMv1_Subcardevmix2_AllD,Desktop,not_delivering,0.21,0,0,,0,,,,,,,,,,17.98,0.07,,,,,,,,,,,,,2,2,15,5,actions:video_view,5,0:00:17,
2017-06-01,2017-06-30,JLRFearLight_Vid_SendLane2544,Desktop,not_delivering,0.02,0,0,,0,,,,,,,,,,6.16,,,,,,,,,,,,,,,,6,1,actions:video_view,1,0:00:02,
2017-06-01,2017-06-30,JLRFearLight_LdLkSubUS_VidView,Desktop,not_delivering,0.02,0,0,,0,,,,,,,,,,7.66,,,,,,,,,,,,,,,,2,,,,0:00:03,
2017-06-01,2017-06-30,subcardevmix2_Probk_Meetme1_20170718_DT,Desktop,not_delivering,6.08,0,0.93676815,,8.277404922,0.894854586,1.52,,,,,,,,0,,2,,,,4,,,,,,,,,,427,4,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,Offer_PwrCourseFearLightVid_Pro1_AdComp,Desktop,not_delivering,0,0,0,,5.714285714,,,,,,,,,,62.29,0,,,,,,,,,,,,,1,1,35,,,2,0:00:21,
2017-06-01,2017-06-30,JLRFearLight_Vid_Retarg50,Desktop,not_delivering,0.14,0,0,,0,,,,,,,,,,21.07,0.028,,,,,,,,,,,,,2,1,20,11,actions:video_view,11,0:00:07,
2017-06-01,2017-06-30,Scared_Vid_SubCarDevMix2,Desktop,rejected,0.01,0,0,,0,,,,,,,,,,16.81,,,,,,,,,,,,,,,,3,2,actions:video_view,2,0:00:04,
2017-06-01,2017-06-30,JLRFearLight_subcardevmix2_VidView,Desktop,not_delivering,0.06,0,0,,0,,,,,,,,,,17.94,0.03,,,,,,,,,,,,,1,,11,5,actions:video_view,5,0:00:06,
2017-06-01,2017-06-30,PMv1_Mot1Broad_2534,Desktop,not_delivering,0.18,0,0,,0,,,,,,,,,,2.62,,,,,,,,,,,,,,,,15,4,actions:video_view,4,0:00:02,
2017-06-01,2017-06-30,PMv1_Retarg_AllD,Desktop,not_delivering,0.11,0,0,,0,,,,,,,,,,15.57,0.0275,,,,,,,,,,,,,1,1,11,5,actions:video_view,5,0:00:14,
2017-06-01,2017-06-30,ProBook1_Issa_AllD,Desktop,not_delivering,1.99,0,0.20242915,,0,0.075414781,1.99,,,,,1.99,,,0,,,,,,1,,,,,,,1,,,494,1,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,ProBook1_Lk_Lifehack_AllD,Desktop,not_delivering,1.21,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,219,,,,0:00:00,
2017-06-01,2017-06-30,ProBook_xPg_SendLane2544,Desktop,not_delivering,7.8,0,0.663716814,,0.44709389,0.44709389,2.6,7.8,,3.9,,1.56,,,0,,,,,,3,2,,,,,,5,,,452,2,actions:offsite_conversion.fb_pixel_complete_registration,,0:00:00,
2017-06-01,2017-06-30,ProBook1_1834$100+Inc_LdLkSubUS_AllD,Desktop,not_delivering,0.6,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,119,,,,0:00:00,
